Anio	Mes	TSM 
2008	3	12.11
2008	4	13.85
2008	5	15.96
2008	6	17.89
2008	7	19.06
2008	8	19.01
2008	9	17.20
2008	10	14.96
2008	11	12.12
2008	12	11.75
2009	1	10.88
2009	2	10.79
2009	3	12.36
2009	5	15.17
2009	6	18.02
2009	7	19.53
2009	8	19.28
2009	9	19.10
2009	10	17.25
2009	11	15.26
2009	12	13.75
2010	1	12.32
2010	2	11.10
2010	3	11.44
2010	4	12.05
2010	5	13.66
2010	6	16.71
2010	7	18.25
2010	8	18.69
2010	9	18.39
2010	10	16.62
2010	11	14.76
2010	12	12.87
2011	1	11.30
2011	2	10.52
2011	3	10.87
2011	4	12.28
2011	5	14.39
2011	6	16.39
2011	7	18.85
2011	8	18.28
2011	9	17.98
2011	10	16.15
2011	11	14.64
2011	12	12.57
2012	1	11.53
2012	2	11.25
2012	3	11.11
2012	4	11.67
2012	5	15.13
2012	6	17.15
2012	7	19.53
2012	8	19.60
2012	9	18.79
2012	10	16.74
2012	11	14.93
2012	12	13.04
2013	1	11.73
2013	2	11.14
2013	3	11.87
2013	4	12.60
2013	5	14.54
2013	6	17.20
2013	7	18.20
2013	8	19.41
2013	9	17.41
2013	10	16.45
2013	11	15.03
2013	12	13.08
2014	1	11.52
2014	3	10.77
2014	4	11.14
2014	5	12.59
2014	6	14.71
2014	7	16.79
2014	8	18.44
2014	9	19.30
2014	10	18.46
2014	11	16.29
2014	12	14.59
2015	1	13.23
2015	3	11.97
2015	4	11.59
2015	5	11.86
2015	6	12.83
2015	7	14.96
2015	8	17.57
2015	9	18.44
2015	10	18.78
2015	11	18.47
2015	12	17.08
